filename,domain,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9,config_10,config_11,config_12,best_config
doc_10.txt,General_Business,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,config_5
doc_11.txt,General_Business,0.2,0.9,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_4
doc_12.txt,General_Business,0.7,0.8,0.7,0.8,0.0,0.9,0.0,0.9,0.9,0.9,0.9,0.9,config_6
doc_13.txt,General_Business,0.6,0.7,0.8,0.8,0.4,0.7,0.8,0.9,0.5,0.9,0.8,0.9,config_8
doc_14.txt,General_Business,0.6,0.7,0.7,0.9,0.5,0.6,0.5,0.8,0.9,0.9,0.9,0.9,config_4
doc_15.txt,General_Business,0.7,0.8,0.8,0.9,0.3,0.7,0.3,0.9,1.0,1.0,1.0,1.0,config_9
doc_16.txt,General_Business,0.5454545454545454,0.9090909090909091,0.6363636363636364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_4
doc_17.txt,General_Business,0.9,0.9,0.9,1.0,0.2,0.8,0.3,1.0,1.0,1.0,1.0,1.0,config_4
doc_18.txt,General_Business,0.2,0.7,0.2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,config_4
doc_19.txt,General_Business,0.9,0.8,0.8,0.9,0.2,0.9,0.4,0.9,1.0,1.0,1.0,1.0,config_9
doc_20.txt,General_Business,0.5,0.9,0.8,0.8,0.5,0.9,0.5,1.0,1.0,1.0,1.0,1.0,config_8
doc_21.txt,General_Business,0.3,0.9,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_4
doc_22.txt,General_Business,0.7,0.6,0.5,0.4,0.5,0.7,0.8,0.5,0.8,0.8,0.8,0.8,config_7
doc_23.txt,General_Business,0.6,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.3,0.9,0.6,1.0,config_12
doc_24.txt,General_Business,0.8,0.9,0.7,1.0,0.1,1.0,0.1,1.0,1.0,1.0,1.0,1.0,config_4
doc_25.txt,General_Business,0.7,0.5,0.6,0.8,0.2,0.5,0.2,0.8,0.8,0.8,0.8,0.8,config_4
doc_26.txt,General_Business,0.4,0.8,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,config_4
doc_27.txt,General_Business,0.9,0.4,0.7,0.8,0.9,0.5,0.9,0.8,0.5,0.5,0.4,0.8,config_1
doc_28.txt,General_Business,0.6,0.7,0.7,0.8,0.7,0.7,0.6,0.9,0.9,0.9,0.9,0.9,config_8
doc_29.txt,General_Business,0.8,0.7,0.7,0.8,0.6,0.6,0.6,0.9,1.0,1.0,1.0,1.0,config_9
doc_30.txt,General_Business,0.9,1.0,1.0,1.0,0.6,1.0,0.6,0.9,1.0,1.0,1.0,1.0,config_2
doc_01.txt,HR_Policies,0.4,0.8,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_4
doc_02.txt,HR_Policies,0.8,0.8,0.8,0.8,0.4,0.8,0.5,0.9,1.0,1.0,1.0,1.0,config_9
doc_03.txt,HR_Policies,0.5,0.6,0.6,0.7,0.3,0.3,0.3,0.7,0.7,0.7,0.7,0.7,config_4
doc_04.txt,HR_Policies,0.7,0.6,0.5,0.7,0.1,0.8,0.1,0.9,0.9,0.9,0.9,0.9,config_8
doc_05.txt,HR_Policies,0.7,0.5,0.7,0.8,0.3,0.9,0.3,1.0,1.0,1.0,1.0,1.0,config_8
doc_06.txt,HR_Policies,0.4,1.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_2
doc_07.txt,HR_Policies,0.2,0.7,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_5
doc_08.txt,HR_Policies,0.9,0.9,0.9,0.8,0.1,0.9,0.1,0.9,1.0,1.0,1.0,1.0,config_9
doc_09.txt,HR_Policies,0.8,1.0,1.0,0.8,0.2,1.0,0.2,0.9,1.0,1.0,1.0,1.0,config_2
doc_10.txt,HR_Policies,0.6,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.2,0.6,0.2,0.7,config_12
doc_11.txt,HR_Policies,0.6,0.7,0.7,0.8,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,config_4
doc_12.txt,HR_Policies,0.5,0.3,0.5,0.3,0.7,0.5,0.7,0.5,0.2,0.7,0.2,0.7,config_5
doc_13.txt,HR_Policies,0.6,0.5,0.6,0.7,0.4,0.7,0.5,0.7,0.8,0.8,0.8,0.8,config_9
doc_14.txt,HR_Policies,0.4,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_2
doc_15.txt,HR_Policies,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.1,0.7,0.1,0.5,config_1
doc_16.txt,HR_Policies,0.9,0.9,0.8,1.0,0.1,0.7,0.6,0.9,1.0,1.0,1.0,1.0,config_4
doc_17.txt,HR_Policies,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.1,0.6,0.1,0.6,config_10
doc_18.txt,HR_Policies,0.7,0.7,0.6,0.9,0.4,0.8,0.3,0.9,1.0,1.0,1.0,1.0,config_9
doc_19.txt,HR_Policies,0.6,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,config_4
doc_20.txt,HR_Policies,0.7,0.6,0.7,0.7,0.2,0.5,0.2,0.7,0.8,0.8,0.8,0.8,config_9
doc_21.txt,HR_Policies,0.8,0.6,0.8,0.9,0.7,0.7,0.8,0.9,0.9,0.8,0.8,0.8,config_4
doc_22.txt,HR_Policies,0.6,0.7,0.6,0.8,0.7,0.5,0.5,0.7,0.9,0.9,0.9,0.9,config_9
doc_23.txt,HR_Policies,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,config_1
doc_24.txt,HR_Policies,0.6,0.6,0.7,0.7,0.2,0.7,0.2,0.7,0.7,0.7,0.7,0.7,config_3
doc_25.txt,HR_Policies,0.5,0.8,0.8,0.9,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,config_6
