feature,f_score,p_value
total_tokens,4.298619525283877,5.980916618782969e-05
vocab_richness,3.679830854908852,0.00036739772467594625
sbert_368,3.5852933757940586,0.00048462845785101006
sbert_355,3.4104328832616564,0.0008081359130487981
sbert_294,3.2216973123652948,0.0014007785227230186
sbert_9,3.2207976462541863,0.0014044478750959689
sbert_77,3.185561389926352,0.0015559014844976882
sbert_362,3.146177146408624,0.0017443811692770396
sbert_72,2.9004147031201866,0.003548215821682907
sbert_231,2.7373268325060853,0.0056601900655139726
sbert_190,2.658545825676107,0.007081983412345028
sbert_12,2.6229333934404617,0.007834153120453062
sbert_244,2.5466059359569417,0.009718250589973438
sbert_65,2.499389487141355,0.011097471042916272
avg_para_length,2.462023883618631,0.012322040727880675
sbert_159,2.4392138268652546,0.013132993801075988
sbert_303,2.429982493716671,0.013475689865541858
sbert_374,2.4285874096903344,0.013528227534148398
sbert_189,2.4255965334080942,0.013641530793381849
sbert_351,2.414221309551643,0.014080910783396523
sbert_36,2.388234954302175,0.01513664790997731
sbert_140,2.383949943702529,0.015317928979075
sbert_157,2.3000633948233813,0.019319196301482842
sbert_340,2.25737656119922,0.021724288546269687
sbert_13,2.250385221274933,0.022144650012783172
sbert_160,2.222269352576134,0.023915253317582402
sbert_123,2.2191421403460003,0.024120370444600508
sbert_94,2.186319260271497,0.026377324653393062
sbert_212,2.1757061951690293,0.02714930987895625
sbert_365,2.173829303605592,0.027288059075052044
sbert_301,2.168649708701945,0.02767448012988696
sbert_373,2.067674387450553,0.0363339335866689
sbert_41,2.051514378381629,0.037938689457339796
sbert_251,2.0245358233020077,0.040767953856633524
sbert_187,2.006972568720893,0.04271553957055623
sbert_211,2.006187096690978,0.042804655332315054
sbert_50,2.004559604536446,0.04298985981282731
sbert_363,2.0001534044093185,0.04349506628485257
sbert_186,1.9899820419357457,0.04468270224966194
sbert_313,1.9735833248652208,0.04666183696670643
sbert_310,1.9730797118377799,0.04672390031279683
sbert_344,1.93308032727039,0.05190795415933514
sbert_334,1.92678724390683,0.052770946387263686
sbert_176,1.925049580282031,0.053011587941280164
sbert_34,1.9225647707018512,0.05335747862080328
sbert_113,1.9209583658781924,0.05358221324701457
sbert_230,1.9145661825645102,0.054485250838193916
sbert_315,1.908362524237369,0.05537520587198599
sbert_286,1.8894781077447498,0.05816832531297175
sbert_297,1.866602417679524,0.06172706608278843
sbert_104,1.8538801724838727,0.06379257855216013
sbert_11,1.8507836863379707,0.06430489717639683
sbert_299,1.8416775479599903,0.065833655535306
sbert_383,1.8327007319925583,0.06737350921089864
sbert_61,1.8296906207512078,0.0678972516468406
sbert_341,1.8251634365425262,0.06869203125316094
sbert_46,1.8243172596333506,0.0688415317743793
sbert_19,1.8226776148709543,0.06913207424916452
sbert_92,1.8146165590310006,0.07057698123740366
sbert_165,1.8123762219945738,0.07098346042931925
sbert_131,1.8096001643212014,0.07149012728356174
sbert_101,1.8085036876944922,0.07169116352896046
sbert_250,1.7861731025786869,0.0759001331554719
sbert_325,1.7804892812030804,0.07700704128575091
sbert_8,1.7758385540835355,0.07792373470808599
sbert_343,1.748497111999632,0.08351769801015457
sbert_179,1.7475039478578582,0.0837276250923388
sbert_96,1.7467736144945951,0.08388230374193224
sbert_177,1.7404832938145682,0.08522535556853957
sbert_75,1.736152501922037,0.08616137092016923
sbert_31,1.7322001140743857,0.08702375059214015
table_density,1.7122907487409942,0.09148818488957296
sbert_203,1.7108737467390347,0.09181370885444154
sbert_151,1.7003249033124983,0.09427020230734551
sbert_359,1.6978857407951504,0.09484659694107789
sbert_68,1.6684905820263891,0.10204724798332585
sbert_7,1.6612896869334377,0.10388450295305164
sbert_142,1.6608545363213276,0.10399647339603171
sbert_354,1.633632669446197,0.1112195772258808
sbert_29,1.632365146964779,0.11156656253041829
sbert_205,1.616782282504415,0.11591185714027685
sbert_78,1.6117429518099793,0.1173489221707654
